cornerNo,proc,VDD,TEMP,L5,NF5,NM5,W5,LCAP,NMCAP,WCAp,IRL,NML,NTL,L34,W34,NM34,NF34,VB,L12,NF12,NM12,W12,Fosc_Hz,PD_W,V1pk_V,V1rms_V,PN_100k_dBc,PN_1M_dBc,FOM_100k,FOM_1M
63,fs,1.62,27.0,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.094912e+09,0.00235559,1.252933,0.6264666,-89.92816,-115.0137,-180.3499,-185.4355
64,fs,1.62,70.0,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.109456e+09,0.002394562,1.146908,0.5734538,-88.85543,-113.8318,-179.2307,-184.2071
65,fs,1.62,85,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.114392e+09,0.002405122,1.111868,0.5559339,-88.4651,-113.4034,-178.8296,-183.7679
66,fs,1.8,-40,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.02641e+09,0.00390522,1.645534,0.822767,-92.873,-118.0003,-180.9817,-186.109
67,fs,1.8,0.0,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.042669e+09,0.003841679,1.532645,0.7663226,-91.56212,-116.8403,-179.7701,-185.0483
68,fs,1.8,27.0,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.053074e+09,0.003803982,1.457988,0.7289941,-90.73948,-116.061,-179.0082,-184.3297
69,fs,1.8,70.0,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.069264e+09,0.00374862,1.343453,0.6717264,-89.60003,-114.8982,-177.9602,-183.2584
70,fs,1.8,85,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.074951e+09,0.003730158,1.305048,0.6525241,-89.18045,-114.4733,-177.5718,-182.8647
71,fs,1.98,-40,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,4.99366e+09,0.00601148,1.852783,0.9263916,-93.7318,-118.921,-179.9104,-185.0995
72,fs,1.98,0.0,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.009434e+09,0.005765345,1.734688,0.8673441,-92.41588,-117.7881,-178.8034,-184.1756
73,fs,1.98,27.0,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.019935e+09,0.005624109,1.655832,0.827916,-91.59309,-117.0347,-178.1065,-183.5481
74,fs,1.98,70.0,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.036866e+09,0.005427537,1.533318,0.7666588,-90.30612,-115.8199,-177.0033,-182.5171
75,fs,1.98,85,4.233603e-07,2,6,6.838755e-06,7.034541e-06,7,7.568859e-06,3.690812e-05,1,3,3.466753e-07,6.240985e-06,5,1,0.9288562,2.783862e-07,1,9,7.364702e-06,5.042982e+09,0.005365234,1.491755,0.7458775,-89.84413,-115.3845,-176.602,-182.1424
