cornerNo,proc,VDD,TEMP,L5,NF5,NM5,W5,LCAP,NMCAP,WCAp,IRL,NML,NTL,L34,W34,NM34,NF34,VB,L12,NF12,NM12,W12,Fosc_Hz,PD_W,V1pk_V,V1rms_V,PN_100k_dBc,PN_1M_dBc,FOM_100k,FOM_1M
63,fs,1.62,27.0,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.118946e+09,0.006113941,1.258859,0.6294294,-95.03919,-118.8905,-181.3596,-185.2109
64,fs,1.62,70.0,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.125801e+09,0.00605471,1.105963,0.5529817,-93.79882,-117.5029,-180.1731,-183.8772
65,fs,1.62,85,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.127611e+09,0.006032255,1.051475,0.5257376,-93.51815,-117.0634,-179.9117,-183.4569
66,fs,1.8,-40,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.069312e+09,0.01051145,1.678783,0.8393916,-98.19669,-121.9559,-182.079,-185.8383
67,fs,1.8,0.0,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.076141e+09,0.01003368,1.545304,0.7726518,-97.09402,-120.8118,-181.1901,-184.9079
68,fs,1.8,27.0,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.080844e+09,0.009760083,1.450488,0.7252442,-96.28146,-119.9859,-180.5056,-184.2101
69,fs,1.8,70.0,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.088384e+09,0.009379095,1.294457,0.6472283,-95.01151,-118.6143,-179.4215,-183.0243
70,fs,1.8,85,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.090974e+09,0.009257898,1.239067,0.6195335,-94.58759,-118.114,-179.0585,-182.5849
71,fs,1.98,-40,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.038087e+09,0.01564791,1.865634,0.9328172,-98.47922,-122.5676,-180.58,-184.6683
72,fs,1.98,0.0,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.045757e+09,0.01463879,1.725573,0.8627865,-97.71474,-121.5893,-180.1182,-183.9927
73,fs,1.98,27.0,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.050802e+09,0.01406694,1.626485,0.8132424,-96.96965,-120.7536,-179.5549,-183.3388
74,fs,1.98,70.0,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.058631e+09,0.01328649,1.464133,0.7320666,-95.86902,-119.488,-178.7156,-182.3345
75,fs,1.98,85,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.061433e+09,0.01304364,1.40666,0.7033299,-95.45513,-118.9995,-178.3866,-181.931
